facility_name,hcahps_measure_id,hcahps_question,hcahps_answer_description,patient_survey_star_rating,number_of_completed_surveys
TRISTAR SKYLINE MEDICAL CENTER,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,Nurse communication - linear mean score,Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,2,511
TRISTAR SKYLINE MEDICAL CENTER,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_NURSE_RESPECT_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect","Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_NURSE_RESPECT_U_P,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect","Nurses ""usually""  treated them with courtesy and  respect",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_NURSE_LISTEN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them","Nurses ""sometimes"" or ""never"" listened carefully",Not Applicable,511
TRISTAR SKYLINE MEDICAL CENTER,H_NURSE_LISTEN_U_P,"Patients who reported that their nurses ""Usually"" listened carefully to them","Nurses ""usually"" listened carefully",Not Applicable,511
